"","Codi","Municipi","Usuaris_sexe_Dependencia_Home","Usuaris_sexe_Dependencia_Dona","Hores_SAD_Dependencia_Home","Hores_SAD_Dependencia_Dona","Any","Total_Hores_SAD_Dependencia","Total_Usuaris_SAD_Dependencia"
"1","081081","Lliçà de Vall",5,7,280,378.25,2019,658.25,12
"2","080142","Aiguafreda",8,10,1733.33,2150.75,2019,3884.08,18
"3","080057","L'Ametlla del Vallès",10,9,1366.5,970,2019,2336.5,19
"4","080235","Bigues i Riells del Fai",3,12,240,589.17,2019,829.17,15
"5","080333","Caldes de Montbui",8,18,1015,1966,2019,2981,26
"6","080399","Campins",0,1,0,214,2019,214,1
"7","080410","Canovelles",13,33,596,4064,2019,4660,46
"8","080425","Cànoves i Samalús",5,14,865,1666.17,2019,2531.17,19
"9","080462","Cardedeu",9,27,2010.19,3630.61,2019,5640.8,36
"10","081347","Figaró-Montmany",2,7,277,972,2019,1249,9
"11","080863","Les Franqueses del Vallès",11,15,1949.25,2903.25,2019,4852.5,26
"12","080885","La Garriga",2,4,123,275,2019,398,6
"13","080977","Gualba",3,2,503,322,2019,825,5
"14","081056","La Llagosta",6,19,745,3186.5,2019,3931.5,25
"15","081075","Lliçà d'Amunt",9,19,704.58,2004.07,2019,2708.65,28
"16","081069","Llinars del Vallès",7,17,526,2259.25,2019,2785.25,24
"17","081154","Martorelles",5,9,456,1321,2019,1777,14
"18","081350","Montmeló",11,31,1918.8,4242.44,2019,6161.24,42
"19","081363","Montornès del Vallès",4,15,405.5,1424.5,2019,1830,19
"20","081593","Parets del Vallès",4,11,462,2630,2019,3092,15
"21","081810","La Roca del Vallès",4,16,418,3127.67,2019,3545.67,20
"22","081982","Sant Antoni de Vilamajor",5,15,617,1957,2019,2574,20
"23","082021","Sant Celoni",33,43,4574,6761.5,2019,11335.5,76
"24","082074","Sant Esteve de Palautordera",2,2,417.5,223.75,2019,641.25,4
"25","082107","Sant Feliu de Codines",10,15,1274.87,1614.49,2019,2889.36,25
"26","082093","Sant Fost de Campsentelles",7,12,784.67,1840,2019,2624.67,19
"27","082346","Sant Pere de Vilamajor",8,20,694,2411.5,2019,3105.5,28
"28","082482","Santa Eulàlia de Ronçana",8,10,597.75,702,2019,1299.75,18
"29","082592","Santa Maria de Palautordera",14,16,1757.75,2315.33,2019,4073.08,30
"30","082943","Vallgorguina",3,5,98,845,2019,943,8
"31","082969","Vallromanes",5,8,564,1143,2019,1707,13
"32","083067","Vilalba Sasserra",2,3,35,33,2019,68,5
"33","089024","Vilanova del Vallès",8,14,1150.75,2237.5,2019,3388.25,22
"34","080961","Granollers",59,135,10487,25952,2019,36439,194
"35","081249","Mollet del Vallès",46,153,10538,30127,2019,40665,199
