"","Municipi","Codi","Usuaris_sexe_Social_Dona","Usuaris_sexe_Social_Home","Hores_SAD_Social_Dona","Hores_SAD_Social_Home","Total_Hores_SAD_Social","Total_Usuaris_SAD_Social","Any"
"1","Aiguafreda","080142",22,5,1984,471,2455,27,2019
"2","L'Ametlla del Vallès","080057",22,13,1071,898.25,1969.25,35,2019
"3","Bigues i Riells del Fai","080235",53,21,1303,656.5,1959.5,74,2019
"4","Caldes de Montbui","080333",34,8,2996.5,578,3574.5,42,2019
"5","Campins","080399",1,0,65,0,65,1,2019
"6","Canovelles","080410",48,20,2332,1353,3685,68,2019
"7","Cànoves i Samalús","080425",18,5,1736.75,461,2197.75,23,2019
"8","Cardedeu","080462",30,7,2276.54,403.32,2679.86,37,2019
"9","Figaró-Montmany","081347",11,3,640.25,78,718.25,14,2019
"10","Fogars de Montclús","080811",4,0,58,0,58,4,2019
"11","La Garriga","080885",60,10,2478,419,2897,70,2019
"12","Gualba","080977",15,1,668.67,15,683.67,16,2019
"13","Les Franqueses del Vallès","080863",36,14,5394.5,2011.5,7406,50,2019
"14","La Llagosta","081056",36,15,3155,1246.5,4401.5,51,2019
"15","Lliçà d'Amunt","081075",43,24,2103.8,1315.41,3419.21,67,2019
"16","Lliçà de Vall","081081",54,15,884.35,448.8,1333.15,69,2019
"17","Llinars del Vallès","081069",31,14,2853.5,1176,4029.5,45,2019
"18","Martorelles","081154",22,8,1705,1030.45,2735.45,30,2019
"19","Montmeló","081350",22,4,1241,443,1684,26,2019
"20","Montornès del Vallès","081363",26,23,1433.75,1685.5,3119.25,49,2019
"21","Santa Maria de Palautordera","082592",46,17,4004,1280.33,5284.33,63,2019
"22","Parets del Vallès","081593",94,50,2903,3578,6481,144,2019
"23","La Roca del Vallès","081810",39,8,3429.27,741,4170.27,47,2019
"24","Sant Antoni de Vilamajor","081982",42,8,3417,481,3898,50,2019
"25","Sant Celoni","082021",84,19,3929.5,1022.5,4952,103,2019
"26","Sant Esteve de Palautordera","082074",2,5,52,286.5,338.5,7,2019
"27","Sant Feliu de Codines","082107",12,14,560,966,1526,26,2019
"28","Sant Fost de Campsentelles","082093",14,11,1640.5,859.75,2500.25,25,2019
"29","Sant Pere de Vilamajor","082346",24,7,1583,376,1959,31,2019
"30","Santa Eulàlia de Ronçana","082482",19,6,824,69,893,25,2019
"31","Santa Maria de Martorelles","082567",1,0,244,0,244,1,2019
"32","Tagamanent","082763",4,1,241,127.5,368.5,5,2019
"33","Vallgorguina","082943",8,0,480,0,480,8,2019
"34","Vallromanes","082969",9,1,810.5,12,822.5,10,2019
"35","Vilalba Sasserra","083067",3,4,436,78,514,7,2019
"36","Vilanova del Vallès","089024",7,5,687.5,447,1134.5,12,2019
"37","Granollers","080961",101,32,5080,2048,7128,133,2019
"38","Mollet del Vallès","081249",142,35,139285,369025,508310,177,2019
